Journal Report 1(R4),Number of Successful Full-text Article Requests by Month and Journal,,,,,,,,,,,,,,,,,,,,
UC Riverside - 2508539,,,,,,,,,,,,,,,,,,,,,
2508539,,,,,,,,,,,,,,,,,,,,,
Period covered by Report,,,,,,,,,,,,,,,,,,,,,
2014-01-01 to 2014-12-31,,,,,,,,,,,,,,,,,,,,,
Date run,,,,,,,,,,,,,,,,,,,,,
1/19/2015,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-2014, Feb-2014, Mar-2014, Apr-2014, May-2014, Jun-2014, Jul-2014, Aug-2014, Sep-2014, Oct-2014, Nov-2014, Dec-2014
 Total for all Journals,,,,,,,4746,197,1460,480,410,359,388,380,550,315,309,438,447,325,345
ACM Proceedings,ACM,ACM Digital Library,,,n/a,2168-4081,3088,0,0,308,282,240,193,249,377,211,202,312,297,216,201
ACM Transactions on Graphics (TOG),ACM,ACM Digital Library,,,0730-0301,1557-7368,76,0,76,31,7,2,2,2,0,2,4,9,7,3,7
ACM SIGARCH Computer Architecture News,ACM,ACM Digital Library,,,0163-5964,n/a,43,0,43,21,6,1,1,0,2,1,2,2,1,1,5
Journal of the ACM (JACM),ACM,ACM Digital Library,,,0004-5411,1557-735X,49,0,49,12,8,6,3,3,0,1,3,3,3,3,4
Communications of the ACM,ACM,ACM Digital Library,,,0001-0782,1557-7317,305,113,192,22,19,26,28,24,17,13,12,20,43,20,61
Proceedings of the VLDB Endowment,ACM,ACM Digital Library,,,2150-8097,n/a,93,0,93,12,15,18,6,3,6,5,8,9,4,3,4
ACM Transactions on Embedded Computing Systems (TECS),ACM,ACM Digital Library,,,1539-9087,1558-3465,58,0,58,6,4,5,7,0,3,4,7,13,6,2,1
ACM Transactions on Sensor Networks (TOSN),ACM,ACM Digital Library,,,1550-4859,1550-4867,31,0,31,6,5,0,4,3,0,0,1,5,2,2,3
Queue,ACM,ACM Digital Library,,,1542-7730,1542-7749,63,49,14,7,6,0,11,9,11,6,2,3,4,0,4
ACM SIGGRAPH Computer Graphics,ACM,ACM Digital Library,,,0097-8930,n/a,9,0,9,3,0,1,0,0,1,0,0,1,0,2,1
ACM Transactions on Architecture and Code Optimization (TACO),ACM,ACM Digital Library,,,1544-3566,1544-3973,76,0,76,5,2,0,60,3,2,0,3,0,0,0,1
ACM SIGMETRICS Performance Evaluation Review,ACM,ACM Digital Library,,,0163-5999,n/a,19,0,19,3,1,1,4,2,1,0,3,0,0,0,4
ACM SIGPLAN Notices,ACM,ACM Digital Library,,,0362-1340,1558-1160,91,0,91,3,3,13,9,9,10,13,6,8,1,10,6
Journal of Nanomaterials,ACM,ACM Digital Library,,,1687-4110,1687-4129,22,0,22,3,3,6,1,1,3,0,1,1,3,0,0
ACM Transactions on Design Automation of Electronic Systems (TODAES),ACM,ACM Digital Library,,,1084-4309,1557-7309,19,0,19,3,1,1,1,1,1,2,0,1,2,2,4
The Journal of Machine Learning Research,ACM,ACM Digital Library,,,1532-4435,1533-7928,20,0,20,3,0,1,1,2,1,1,1,1,4,3,2
ACM SIGKDD Explorations Newsletter,ACM,ACM Digital Library,,,1931-0145,1931-0153,6,0,6,2,0,0,0,0,1,1,0,1,1,0,0
ACM Transactions on Mathematical Software (TOMS),ACM,ACM Digital Library,,,0098-3500,1557-7295,25,0,25,2,5,3,3,0,1,3,1,1,4,0,2
ACM SIGOPS Operating Systems Review,ACM,ACM Digital Library,,,0163-5980,n/a,31,0,31,5,2,0,4,1,5,1,0,2,8,1,2
ACM Transactions on Modeling and Computer Simulation (TOMACS),ACM,ACM Digital Library,,,1049-3301,1558-1195,4,0,4,2,0,0,0,0,0,1,0,1,0,0,0
ACM SIGCSE Bulletin,ACM,ACM Digital Library,,,0097-8418,n/a,20,0,20,1,3,0,1,0,5,2,0,1,2,2,3
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM,ACM Digital Library,,,n/a,1557-7392,6,0,6,2,2,0,0,0,0,0,0,2,0,0,0
ACM Transactions on Database Systems (TODS),ACM,ACM Digital Library,,,0362-5915,1557-4644,38,0,38,1,1,3,1,3,7,1,6,3,6,2,4
ACM SIGMOBILE Mobile Computing and Communications Review,ACM,ACM Digital Library,,,1559-1662,1931-1222,7,0,7,1,0,1,0,3,0,1,0,0,1,0,0
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM,ACM Digital Library,,,1556-4681,1556-472X,9,0,9,1,0,0,0,0,2,1,0,3,1,1,0
